1.1.1.oxidation	0	2	0	1	22.2977	CH3-CH2(OH) + NAD_ox ---> CH3-CHO + NAD_red
2.7.1.phosph_transfer	0	3	-1	0	-28.3268	CH3-CH2(OH) + ATP ---> CH3-CH2p + ADP
1.3.1.oxidation	0	38	0	1	59.2977	CH3-CH2(OH) + NAD_ox ---> CH2=CH(OH) + NAD_red
2.7.2.phosph_transfer	1	4	-1	0	8.24999	CH3-COOH + ATP ---> CH3-COp + ADP
6.3.1.Acid-Ammonia-Ligation	1	5	-1	0	-16.561	CH3-COOH + ATP + NH3(aq) ---> CH3-CO(NH2) + ADP + Pi
4.2.1.dehydration	1	39	0	0	280.768	CH3-COOH ---> CH2=CO + H2O
4.2.1.dehydration	1	39	0	0	280.768	CH3-COOH ---> CH2=CO + H2O
1.2.1.oxidation	2	1	0	1	-54.9456	CH3-CHO + NAD_ox + H2O ---> CH3-COOH + NAD_red
1.2.1.oxidation	2	4	0	1	-10.5336	CH3-CHO + NAD_ox + Pi ---> CH3-COp + NAD_red
3.1.3.Phydrolysis	3	0	0	0	-7.83516	CH3-CH2p + H2O ---> CH3-CH2(OH) + Pi
1.3.1.oxidation	3	40	0	1	87.5634	CH3-CH2p + NAD_ox ---> CH2=CHp + NAD_red
3.6.1.Phydrolysis_Anhydr	4	1	0	0	-44.412	CH3-COp + H2O ---> CH3-COOH + Pi
3.5.1.deamination	5	1	0	0	-19.601	CH3-CO(NH2) + H2O ---> CH3-COOH + NH3(aq)
4.2.1.dehydration	6	2	0	0	-41.6634	CH2(OH)-CH2(OH) ---> CH3-CHO + H2O
4.2.1.dehydration	6	2	0	0	-41.6634	CH2(OH)-CH2(OH) ---> CH3-CHO + H2O
1.1.1.oxidation	6	8	0	1	24.9	CH2(OH)-CH2(OH) + NAD_ox ---> CHO-CH2(OH) + NAD_red
2.7.1.phosph_transfer	6	9	-1	0	-25.83	CH2(OH)-CH2(OH) + ATP ---> CH2(OH)-CH2p + ADP
4.2.1.dehydration	6	38	0	0	-4.66344	CH2(OH)-CH2(OH) ---> CH2=CH(OH) + H2O
4.2.1.dehydration	6	38	0	0	-4.66344	CH2(OH)-CH2(OH) ---> CH2=CH(OH) + H2O
2.7.2.phosph_transfer	7	10	-1	0	27.5614	CH2(OH)-COOH + ATP ---> CH2(OH)-COp + ADP
6.3.1.Acid-Ammonia-Ligation	7	12	-1	0	-5.31857	CH2(OH)-COOH + ATP + NH3(aq) ---> CH2(OH)-CO(NH2) + ADP + Pi
1.1.1.oxidation	7	14	0	1	42.0077	CH2(OH)-COOH + NAD_ox ---> CHO-COOH + NAD_red
2.7.1.phosph_transfer	7	15	-1	0	-6.89857	CH2(OH)-COOH + ATP ---> COOH-CH2p + ADP
4.2.1.dehydration	7	19	0	0	91.1934	CH2(OH)-COOH ---> CHO-CHO + H2O
4.2.1.dehydration	7	50	0	0	257.103	CH2(OH)-COOH ---> CO=CH(OH) + H2O
4.2.1.dehydration	7	50	0	0	257.103	CH2(OH)-COOH ---> CO=CH(OH) + H2O
1.2.1.oxidation	8	7	0	1	-66.2934	CHO-CH2(OH) + NAD_ox + H2O ---> CH2(OH)-COOH + NAD_red
1.2.1.oxidation	8	10	0	1	-2.57	CHO-CH2(OH) + NAD_ox + Pi ---> CH2(OH)-COp + NAD_red
2.6.1.transaminase	8	11	0	0	-10.985	CHO-CH2(OH) + NH2donor ---> CH2(NH2)-CH2(OH) + NH2acceptor
1.1.1.oxidation	8	19	0	1	24.9	CHO-CH2(OH) + NAD_ox ---> CHO-CHO + NAD_red
2.7.1.phosph_transfer	8	20	-1	0	-25.83	CHO-CH2(OH) + ATP ---> CHO-CH2p + ADP
4.2.1.dehydration	8	39	0	0	159.259	CHO-CH2(OH) ---> CH2=CO + H2O
3.1.3.Phydrolysis	9	6	0	0	-10.332	CH2(OH)-CH2p + H2O ---> CH2(OH)-CH2(OH) + Pi
1.1.1.oxidation	9	20	0	1	24.9	CH2(OH)-CH2p + NAD_ox ---> CHO-CH2p + NAD_red
2.7.1.phosph_transfer	9	24	-1	0	-25.83	CH2(OH)-CH2p + ATP ---> CH2p-CH2p + ADP
4.2.1.dehydration	9	40	0	0	21.1054	CH2(OH)-CH2p ---> CH2=CHp + H2O
4.2.1.dehydration	9	40	0	0	21.1054	CH2(OH)-CH2p ---> CH2=CHp + H2O
3.6.1.Phydrolysis_Anhydr	10	7	0	0	-63.7234	CH2(OH)-COp + H2O ---> CH2(OH)-COOH + Pi
1.1.1.oxidation	10	21	0	1	24.9	CH2(OH)-COp + NAD_ox ---> CHO-COp + NAD_red
2.7.1.phosph_transfer	10	25	-1	0	-25.83	CH2(OH)-COp + ATP ---> CH2p-COp + ADP
1.1.1.oxidation	11	22	0	1	24.9	CH2(NH2)-CH2(OH) + NAD_ox ---> CHO-CH2(NH2) + NAD_red
2.7.1.phosph_transfer	11	26	-1	0	-25.83	CH2(NH2)-CH2(OH) + ATP ---> CH2(NH2)-CH2p + ADP
3.5.1.deamination	12	7	0	0	-30.8434	CH2(OH)-CO(NH2) + H2O ---> CH2(OH)-COOH + NH3(aq)
1.1.1.oxidation	12	23	0	1	24.9	CH2(OH)-CO(NH2) + NAD_ox ---> CHO-CO(NH2) + NAD_red
2.7.1.phosph_transfer	12	27	-1	0	-25.83	CH2(OH)-CO(NH2) + ATP ---> CO(NH2)-CH2p + ADP
2.7.2.phosph_transfer	13	16	-1	0	-5.4592	COOH-COOH + ATP ---> COOH-COp + ADP
6.3.1.Acid-Ammonia-Ligation	13	18	-1	0	-38.3392	COOH-COOH + ATP + NH3(aq) ---> CO(NH2)-COOH + ADP + Pi
1.2.1.oxidation	14	13	0	1	-31.4491	CHO-COOH + NAD_ox + H2O ---> COOH-COOH + NAD_red
1.2.1.oxidation	14	16	0	1	-0.746293	CHO-COOH + NAD_ox + Pi ---> COOH-COp + NAD_red
2.6.1.transaminase	14	17	0	0	-8.77059	CHO-COOH + NH2donor ---> CH2(NH2)-COOH + NH2acceptor
2.7.2.phosph_transfer	14	21	-1	0	10.4537	CHO-COOH + ATP ---> CHO-COp + ADP
6.3.1.Acid-Ammonia-Ligation	14	23	-1	0	-22.4263	CHO-COOH + ATP + NH3(aq) ---> CHO-CO(NH2) + ADP + Pi
3.1.3.Phydrolysis	15	7	0	0	-29.2634	COOH-CH2p + H2O ---> CH2(OH)-COOH + Pi
5.4.2.isomerization	15	10	0	0	34.46	COOH-CH2p ---> CH2(OH)-COp
2.7.2.phosph_transfer	15	25	-1	0	8.63	COOH-CH2p + ATP ---> CH2p-COp + ADP
6.3.1.Acid-Ammonia-Ligation	15	27	-1	0	-24.25	COOH-CH2p + ATP + NH3(aq) ---> CO(NH2)-CH2p + ADP + Pi
4.2.1.dehydration	15	60	0	0	263.942	COOH-CH2p ---> CO=CHp + H2O
4.2.1.dehydration	15	60	0	0	263.942	COOH-CH2p ---> CO=CHp + H2O
3.6.1.Phydrolysis_Anhydr	16	13	0	0	-30.7028	COOH-COp + H2O ---> COOH-COOH + Pi
6.3.1.Acid-Ammonia-Ligation	16	29	-1	0	-24.25	COOH-COp + ATP + NH3(aq) ---> CO(NH2)-COp + ADP + Pi
1.4.1.redox+deamination	17	14	0	1	47.3136	CH2(NH2)-COOH + NAD_ox + H2O ---> CHO-COOH + NAD_red + NH3(aq)
2.7.2.phosph_transfer	17	28	-1	0	8.2393	CH2(NH2)-COOH + ATP ---> CH2(NH2)-COp + ADP
6.3.1.Acid-Ammonia-Ligation	17	30	-1	0	-24.6407	CH2(NH2)-COOH + ATP + NH3(aq) ---> CH2(NH2)-CO(NH2) + ADP + Pi
